CULTURE,ID,SHORT_LABEL,MOBILE_LABEL,LAYER_NAME,HIDDEN,LAST_UPDT_USER,LAST_UPDT_DATE,VERSION,DB_ID,ROW_ID,STATUS,REV_GRP_ID
ru-RU,TYPE.CONTEXT_HELP.LAST_UPDT_DATE,Дата изменения,[ru-RU] Last Update Date,STD,FALSE,SYSTEM,56:00.2,58cb0ce1a6f84b2eaa21fbade521c116,NULL,d18c4a7758bb439f829ac3785010ae88,NULL,NULL
en-US,TYPE.CONTEXT_HELP.LAST_UPDT_DATE,Last Update Date,Last Update Date,STD,FALSE,NULL,27:02.7,e06fa03f2cd44b92a0bbf5579e0d6bb9,NULL,4948e2a5c24c40459ff0df3596178de2,NULL,NULL
en-US,TYPE.CONTEXT_HELP.LAST_UPDT_USER,Last Update User,Last Update User,STD,FALSE,NULL,27:02.7,54179877823f4240929fea78ef218697,NULL,1b5f6370545a45d99c1a995d0df66f05,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.LAST_UPDT_USER,Пользователь,[ru-RU] Last Update User,STD,FALSE,SYSTEM,56:00.2,8e8124439023428c86119c26280711a8,NULL,5d10907f432045319f2519038cba1d00,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.LINK,[ru-RU] Link,NULL,STD,FALSE,NULL,27:02.7,0e7e2287803a4337a9b0642c383465f3,NULL,e8439c08c89b4555a43811025d3428b0,NULL,NULL
en-US,TYPE.CONTEXT_HELP.LINK,Link,NULL,STD,FALSE,NULL,27:02.7,04ae07e3c51c41e68da53cdc3a0b4379,NULL,d949d27b4d8f4aa29006ff0454770ef8,NULL,NULL
en-US,TYPE.CONTEXT_HELP.PERIOD,Period,Period,STD,FALSE,NULL,27:02.7,14a21768857742928fa667ed942792cb,NULL,7752be43307d4f609e037a305997c252,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.PERIOD,[ru-RU] Period,[ru-RU] Period,STD,FALSE,NULL,27:02.7,0d1277ef986b48e483f9444941a45f9f,NULL,73836f5d9aa0419eb33e222dfc30b640,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.ROW_ID,[ru-RU] Row ID,[ru-RU] Row ID,STD,FALSE,NULL,27:02.7,8243c6342750465cab4214c7079e15b9,NULL,26fc998326884fd7858455ba7f9fd646,NULL,NULL
en-US,TYPE.CONTEXT_HELP.ROW_ID,Row ID,Row ID,STD,FALSE,NULL,27:02.7,28d9b8f4c0a74512b03f03997abee71b,NULL,8f749f7babce4d80b880a6e26af4c8c7,NULL,NULL
en-US,TYPE.CONTEXT_HELP.ROW_STATUS,Row Status,Row Status,STD,FALSE,NULL,27:02.7,f0b68be423e5412184033feeca0ef138,NULL,d1dee4228f044411a23ab121b1d35e38,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.ROW_STATUS,[ru-RU] Row Status,[ru-RU] Row Status,STD,FALSE,NULL,27:02.7,7da02949685e4405a30a8ab2499f3a2e,NULL,ccb15d4c62e2483c818ec6468ec1577e,NULL,NULL
